Я                   = I
Это                 = This
Добро пожаловать    = Welcome
Ты                  = You
пилот               = pilot
не                  = Not
доктор              = doctor
тренер              = trainer
он                  = He
приятно             = Nice
меня зовут          = my name is
очень               = Very
взаимно             = likewise
a                   = and
мне тоже            = me too
она                 = she
учитель             = teacher
инженер             = engineer
капитан             = captain
повар               = cook
музыкант            = musician
психолог            = psychologist
политик             = politician
друг                = Friend
